主历,礼仪,星期,节日
01,紫,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1120101"">圣安利日(诺雷主教 St. Eligius -660)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1120102"">真福爱德门•江本(Bd. Edmund Campion)</a>
</li>
<li>
                                                                                    将临期第一周(星期四)                                                                                </li>
</ul>"
02,紫,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1120201"">圣女彼彼亚纳(童贞殉道 St. Bibiana)</a>
</li>
<li>
                                                                                    将临期第一周(星期五)                                                                                </li>
</ul>"
03,白,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1120301"">圣方济各•沙勿略(St. Francis Xavier)</a>
</li>
<li>
                                                                                    将临期第一周(星期六)                                                                                </li>
</ul>"
04,紫,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    将临期第二主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1120401"">圣若望•达玛森(圣师 St. John Damascene)</a>
</li>
</ul>"
05,紫,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1120501"">圣撒巴(院长 St. Sabas -532)</a>
</li>
<li>
                                                                                    将临期第二周(星期一)                                                                                </li>
</ul>"
06,紫,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1120601"">圣尼各老(米辣主教 St. Nicholas of Myra)</a>
</li>
<li>
                                                                                    将临期第二周(星期二)                                                                                </li>
</ul>"
07,白,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1120701"">圣盎博罗削(米兰主教圣师 St. Ambrose 340-397)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1120702"">圣女若撒法•罗撒洛(童贞仁慈圣母女修会创办人 St. Josepha ROssello 1811-1880)</a>
</li>
<li>
                                                                                    将临期第二周(星期三)                                                                                </li>
</ul>"
08,白,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1120801"">圣母无原罪始胎(The Immaculate Conception of the Blessed Virgin Mary)</a>
</li>
<li>
                                                                                    将临期第二周(星期四)                                                                                </li>
</ul>"
09,紫,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1120901"">圣伯多禄•傅雷(圣母奥斯定女修会副会祖 St. Peter Fourier 1565-1640)</a>
</li>
<li>
                                                                                    将临期第二周(星期五)                                                                                </li>
</ul>"
10,白,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1121001"">洛雷托圣母</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1121002"">圣米济亚德(教宗殉道 St. Miltiades -314)</a>
</li>
<li>
                                                                                    将临期第二周(星期六)                                                                                </li>
</ul>"
11,玫,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    将临期第三主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1121101"">圣达玛稣一世(圣达生 St. Damasus 366-384)</a>
</li>
</ul>"
12,白,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1121201"">瓜达卢佩圣母(Our Lady of Guadalupe)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1121202"">圣妇若翰纳•方济加•尚达尔(圣母往见会创办人 St. Jane Frances de Chantal -1641)</a>
</li>
<li>
                                                                                    将临期第三周(星期一)                                                                                </li>
</ul>"
13,红,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1121301"">圣女路济亚(圣路琪童贞殉道 St. Lucy)</a>
</li>
<li>
                                                                                    将临期第三周(星期二)                                                                                </li>
</ul>"
14,白,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1121401"">圣若望“由十字架者”(圣师 St. John of the Cross)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1121402"">圣史比利廷(德米杜主教 St. Spiridion)</a>
</li>
<li>
                                                                                    将临期第三周(星期三)                                                                                </li>
</ul>"
15,紫,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1121501"">圣万南修•福多诺(波蒂亚主教 St. Venantius Fotunatus)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1121502"">圣女尼诺(童贞 St. Nino)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1121503"">圣女玛利亚•罗撒(童贞伯来西亚仁爱婢女会创办人 St. Mary di Rosa 1813-1855)</a>
</li>
<li>
                                                                                    将临期第三周(星期四)                                                                                </li>
</ul>"
