主历,礼仪,星期,节日
01,紫,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1040101"">圣许格(格肋诺主教 St. Hugh of Grenoble)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1040102"">真福路道味•巴华尼(无玷圣母之子会会祖 Bd. Ludovic Pavoni)</a>
</li>
<li>
                                                                                    四旬期第五周(星期二)                                                                                </li>
</ul>"
02,紫,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1040201"">圣方济各保拉(最小兄弟会会祖 St. Francis of Paola)</a>
</li>
<li>
                                                                                    四旬期第五周(星期三)                                                                                </li>
</ul>"
03,紫,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1040301"">圣理查德(St. Richard)</a>
</li>
<li>
                                                                                    四旬期第五周(星期四)                                                                                </li>
</ul>"
04,紫,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1040401"">圣依西多禄(St. Isidore)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1040402"">圣“农民”依西多禄希道(St. Isidore the Husbandman)</a>
</li>
<li>
                                                                                    四旬期第五周(星期五)                                                                                </li>
</ul>"
05,紫,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1040501"">圣味增爵•斐勒略(St. Vincent Ferrer)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1040502"">真福儒利亚纳(童贞 Bd. Juliana of Mount Cornillon)</a>
</li>
<li>
                                                                                    四旬期第五周(星期六)                                                                                </li>
</ul>"
06,红,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=40600"">圣枝主日(基督苦难主日)</a>
</li>
<li>
                                                                                    四旬期第六主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1040601"">圣塞来斯定一世(教宗 St. Celestinel)</a>
</li>
</ul>"
07,紫,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=40601"">圣周一</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1040701"">圣若翰•兰沙(St. John Baptist de la Salle)</a>
</li>
<li>
                                                                                    四旬期第六周(星期一)                                                                                </li>
</ul>"
08,紫,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=40602"">圣周二</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1040801"">真福尤丽•贝略(童贞诺默圣母会副会祖 Bd. Julia Billiart)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1040802"">真福亚松大(Bd. Maria Assunta)</a>
</li>
<li>
                                                                                    四旬期第六周(星期二)                                                                                </li>
</ul>"
09,紫,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=40603"">圣周三</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1040901"">圣妇华德托蒂(St. Waldetrudis)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1040902"">真福欧伯(Bd. Ubald of Florence)</a>
</li>
<li>
                                                                                    四旬期第六周(星期三)                                                                                </li>
</ul>"
10,白,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=40604"">主的晚餐</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1041001"">圣傅培(沙尔德主教 St. Fulbert)</a>
</li>
<li>
                                                                                    四旬期第六周(星期四)                                                                                </li>
</ul>"
