主历,礼仪,星期,节日
11,红,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=40605"">耶稣受难</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1041101"">圣达尼老(主教殉道 St. Stanislaus)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1041102"">圣瑰玛•甘甘妮(St. Gemma Galgan)</a>
</li>
<li>
                                                                                    四旬期第六周(星期五)                                                                                </li>
</ul>"
12,白,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=40606"">基督安眠墓中(复活节前夕)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1041201"">圣儒略一世(教宗 St. Julius I)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1041202"">圣柴诺(万罗纳主教 St. Zeno)</a>
</li>
<li>
                                                                                    四旬期第六周(星期六)                                                                                </li>
</ul>"
13,白,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=50100"">复活节</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1041301"">圣玛尔定一世(教宗殉道 St. Martin I)</a>
</li>
</ul>"
14,白,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=50101"">复活节庆期第二日</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1041401"">圣谛步爵、圣华肋廉、圣玛息莫(殉道 Ss. Tiburtius, Valerius and Maxiuss)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1041402"">真福李维娜(童贞 Bd. Lydwina of Schiedam)</a>
</li>
<li>
                                                                                    复活期第一周(星期一)                                                                                </li>
</ul>"
15,白,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=50102"">复活节庆期第三日</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1041501"">圣本笃•若瑟•雷伯(St. Benedict Joseph Labre)</a>
</li>
<li>
                                                                                    复活期第一周(星期二)                                                                                </li>
</ul>"
16,白,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=50103"">复活节庆期第四日</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1041601"">圣女伯尔纳德(St. Bernadette or Mary Bernard Soubinous)</a>
</li>
<li>
                                                                                    复活期第一周(星期三)                                                                                </li>
</ul>"
17,白,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=50104"">复活节庆期第五日</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1041701"">圣阿尼塞多(教宗殉道 St. Anicetus)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1041702"">圣斯德望(西笃修院院长西斯德会副会长 St. Stephen Harding)</a>
</li>
<li>
                                                                                    复活期第一周(星期四)                                                                                </li>
</ul>"
18,白,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=50105"">复活节庆期第六日</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1041801"">圣加帝诺(米兰总主教 St. Caldinus)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1041802"">福女玛利亚(Bd. Mary of the Incarnation)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1041803"">圣马塞兰(St. Marcellin Chanmagnat)</a>
</li>
<li>
                                                                                    复活期第一周(星期五)                                                                                </li>
</ul>"
19,白,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=50106"">复活节庆期第七日</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1041901"">圣良九世(教宗 St. Leo IX. Bruno)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1041902"">圣亚斐奇(坎特伯里总主教殉道 St. Alphege)</a>
</li>
<li>
                                                                                    复活期第一周(星期六)                                                                                </li>
</ul>"
20,白,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=50200"">复活节庆期第八日(慈悲主日)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1042001"">圣女依搦斯•蒙德波(童贞 St. Agnes of Montepulciano)</a>
</li>
</ul>"
21,白,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1042101"">圣安色莫(坎特伯里总主教圣师 St. Anseln)</a>
</li>
<li>
                                                                                    复活期第二周(星期一)                                                                                </li>
</ul>"
22,白,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1042201"">圣索台禄(教宗殉道 St. Soter)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1042202"">圣爱比巴巨、圣亚历山大(殉道 Ss. Epipodius and Alexander)</a>
</li>
<li>
                                                                                    复活期第二周(星期二)                                                                                </li>
</ul>"
23,白,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1042301"">圣乔治(殉道 St. George)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1042302"">真福吉利(Bd. Giles of Assisi)</a>
</li>
<li>
                                                                                    复活期第二周(星期三)                                                                                </li>
</ul>"
24,白,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1042401"">圣斐德(圣斐德理 St. Fidelis of Sigmaringen)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1042402"">圣女贝莱蒂(童贞善牧仁爱圣母会会祖 St. Pelletier)</a>
</li>
<li>
                                                                                    复活期第二周(星期四)                                                                                </li>
</ul>"
25,红,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1042501"">圣马尔谷(St. Mark)</a>
</li>
<li>
                                                                                    复活期第二周(星期五)                                                                                </li>
</ul>"
26,白,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1042601"">圣格肋多(殉道 St. Cletus)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1042602"">圣女方佳(童贞女修院院长 St. Franca of Piacenza)</a>
</li>
<li>
                                                                                    复活期第二周(星期六)                                                                                </li>
</ul>"
27,白,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    复活期第三主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1042701"">圣女纪达(童贞 St. Zita)</a>
</li>
</ul>"
28,白,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1042801"">圣葛利农(St. Louis Mary Grignion of Monffort)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1042802"">圣伯多禄•尚纳神父(殉道 St. Peter Mary Chanel)</a>
</li>
<li>
                                                                                    复活期第三周(星期一)                                                                                </li>
</ul>"
29,白,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1042901"">圣女加大利纳•仙娜(童贞圣师 St. Catherine of Siena)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1042902"">圣若瑟•高登伦哥(St. Joseph Cottolengo)</a>
</li>
<li>
                                                                                    复活期第三周(星期二)                                                                                </li>
</ul>"
30,白,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1043001"">圣比约五世(教宗 Pius V Michele Ghislieril)</a>
</li>
<li>
                                                                                    复活期第三周(星期三)                                                                                </li>
</ul>"
