主历,礼仪,星期,节日
01,绿,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1070101"">圣珈尔(克来门主教 St. Gall)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1070102"">真福多默•李斯斐(Bd. Thomas Maxfield)</a>
</li>
<li>
                                                                                    常年期第十二周(星期六)                                                                                </li>
</ul>"
02,绿,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    常年期第十三主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1070201"">圣博策稣、圣玛谛酿(殉道 Ss. Processus and Martinian)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1070202"">圣奥多(彭伯主教 St. Otto)</a>
</li>
</ul>"
03,红,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1070301"">圣多默(宗徒 St. Thomas the Apostle)</a>
</li>
<li>
                                                                                    常年期第十三周(星期一)                                                                                </li>
</ul>"
04,白,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1070401"">圣妇依撒伯尔(St. Elizabeth of Portuga)</a>
</li>
<li>
                                                                                    常年期第十三周(星期二)                                                                                </li>
</ul>"
05,绿,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1070501"">圣安多尼•匝加利(圣保禄神职修会创办人 St. Antony Zaccaria)</a>
</li>
<li>
                                                                                    常年期第十三周(星期三)                                                                                </li>
</ul>"
06,绿,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1070601"">高兰蒂•玛利亚(童贞殉道 St. Maria Goretti)</a>
</li>
<li>
                                                                                    常年期第十三周(星期四)                                                                                </li>
</ul>"
07,绿,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1070701"">圣庞德诺(St. Pantaenus)</a>
</li>
<li>
                                                                                    常年期第十三周(星期五)                                                                                </li>
</ul>"
08,绿,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1070801"">圣艾士波和卓娅(殉道 Ss. Hesperus and Zoa-135)</a>
</li>
<li>
                                                                                    常年期第十三周(星期六)                                                                                </li>
</ul>"
09,绿,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    常年期第十四主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1070901"">中华诸圣及真福(The Martyrs of China)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1070902"">圣尼各老•比克及其它殉道烈士(Ss. Nicholas Pieck and his Companions)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1070903"">圣女万罗尼加•祁拉尼(童贞 St. Veronica Giuliani)</a>
</li>
</ul>"
10,绿,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1071001"">七位圣昆仲(殉道 the Seven Brothers and St. Feheity)</a>
</li>
<li>
                                                                                    常年期第十四周(星期一)                                                                                </li>
</ul>"
11,白,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1071101"">圣本笃(院长 St. Benedict 480-547)</a>
</li>
<li>
                                                                                    常年期第十四周(星期二)                                                                                </li>
</ul>"
12,绿,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1071201"">越南殉道烈士(the Martyrs of Indo-China, I)</a>
</li>
<li>
                                                                                    常年期第十四周(星期三)                                                                                </li>
</ul>"
13,绿,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1071301"">圣亨利二世(St. Henry II)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1071302"">圣息拉(St. Silas)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1071303"">圣欧杰(迦太基主教 St. Eugenius-505)</a>
</li>
<li>
                                                                                    常年期第十四周(星期四)                                                                                </li>
</ul>"
14,绿,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1071401"">圣加弥禄(灵医会创办人 St. Camillus De Lellis)</a>
</li>
<li>
                                                                                    常年期第十四周(星期五)                                                                                </li>
</ul>"
15,白,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1071501"">圣文都辣(St. Bonaventure)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1071502"">圣亚大纳削(那不勒斯主教 St. Athanasius)</a>
</li>
<li>
                                                                                    常年期第十四周(星期六)                                                                                </li>
</ul>"
16,绿,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    常年期第十五主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1071601"">加尔默罗圣母(The Commemoration of Our Lady of Mount Carmel)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1071602"">圣女玛利亚•玛达肋纳•巴斯德(St. Mary Magdalem Postel)</a>
</li>
</ul>"
17,绿,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1071701"">圣亚肋叔(St. Alexius)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1071702"">圣女玛珊利纳(St. Marcellina)</a>
</li>
<li>
                                                                                    常年期第十五周(星期一)                                                                                </li>
</ul>"
18,绿,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1071801"">圣威德廉(乌德莱主教殉道 St. Frederick)</a>
</li>
<li>
                                                                                    常年期第十五周(星期二)                                                                                </li>
</ul>"
19,绿,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1071901"">圣女儒斯大、圣妇卢菲娜(Ss. Justa and Rufina)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1071902"">圣亚赛热(St. Arsenius the Great-450)</a>
</li>
<li>
                                                                                    常年期第十五周(星期三)                                                                                </li>
</ul>"
20,绿,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1072001"">圣厄利亚(耶路撒冷宗主教)和圣法来文(Ss. Elias and Flavian)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1072002"">圣若瑟•巴尔撒巴(St. Joseph Barsabas)</a>
</li>
<li>
                                                                                    常年期第十五周(星期四)                                                                                </li>
</ul>"
21,绿,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1072101"">圣炳德西(St. Laurence of Brindisi)</a>
</li>
<li>
                                                                                    常年期第十五周(星期五)                                                                                </li>
</ul>"
22,白,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1072201"">圣女玛利亚•玛达肋纳(圣徳莲 St. Mary Magdalen)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1072202"">圣若瑟•巴勒斯坦(St. Joseph of Palestine)</a>
</li>
<li>
                                                                                    常年期第十五周(星期六)                                                                                </li>
</ul>"
23,绿,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    常年期第十六主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1072301"">圣妇彼利日大(救世主会创始人 St. Bridget)</a>
</li>
</ul>"
24,绿,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1072401"">圣方济各•沙拉纳(St. Francis Salasno)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1072402"">圣女克利斯蒂娜(童贞 St. Christina the Astonishing)</a>
</li>
<li>
                                                                                    常年期第十六周(星期一)                                                                                </li>
</ul>"
25,红,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1072501"">圣长雅各伯宗徒(St. James the Greater)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1072502"">圣基多福(殉道 St. Christopher)</a>
</li>
<li>
                                                                                    常年期第十六周(星期二)                                                                                </li>
</ul>"
26,白,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1072601"">圣妇亚纳及若亚敬(St. Anne &amp; St. Joachim)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1072602"">圣女亚加比大日(童贞路物仁爱女修会副会祖 St. Bartholomea Capitanio-1833)</a>
</li>
<li>
                                                                                    常年期第十六周(星期三)                                                                                </li>
</ul>"
27,绿,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1072701"">圣依诺增爵一世(教宗 St. Innocent I)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1072702"">圣庞大良(殉道 St. Pantaleon)</a>
</li>
<li>
                                                                                    常年期第十六周(星期四)                                                                                </li>
</ul>"
28,绿,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1072801"">真福亚尔丰索(童贞 Bd. Alphonsa Muttathupadathu 1910-1946)</a>
</li>
<li>
                                                                                    常年期第十六周(星期五)                                                                                </li>
</ul>"
29,白,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1072901"">圣玛尔大、圣玛利亚及圣拉匝禄(St. Martha, Mary and Lazarus)</a>
</li>
<li>
                                                                                    常年期第十六周(星期六)                                                                                </li>
</ul>"
30,绿,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    常年期第十七主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1073001"">圣伯多禄金言(辣未纳总主教圣师 St. Peter Chrysologus)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1073002"">真福伯多禄•玛格里诺(Bd. Peter of Mogliano)</a>
</li>
</ul>"
31,白,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1073101"">圣依纳爵•罗耀拉(耶稣会会祖圣纳爵 St. Ignatius of Loyola)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1073102"">真福儒斯定(尼洛波利主教 Bd. Justin de Jacobis)</a>
</li>
<li>
                                                                                    常年期第十七周(星期一)                                                                                </li>
</ul>"
