主历,礼仪,星期,节日
01,白,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1010101"">天主之母节(Solemnity Mary,Monther of God)</a>
</li>
<li>
                                                                                    圣诞期第一周(星期五)                                                                                </li>
</ul>"
02,白,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1010201"">圣西略及圣国瑞•纳祥(St. Basil the Great &amp; Gregory Nazianxen)</a>
</li>
<li>
                                                                                    圣诞期第一周(星期六)                                                                                </li>
</ul>"
03,白,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1"">主显节(Epiphany of the Lord)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1010301"">耶稣圣名</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1010302"">真福查瓦拉(Bd. Kuriakose Elias Chavara)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1010303"">圣女日南斐法(童贞 St. Genevieve)</a>
</li>
</ul>"
04,白,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1010401"">圣安•贝兰•丝彤(依丽莎白 St. Eizabeth Ann Bayley Seton)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1010402"">圣女法拉意弟(St. Pharaildis)</a>
</li>
<li>
                                                                                    圣诞期第二周(星期一)                                                                                </li>
</ul>"
05,白,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1010501"">圣牛曼(St. John Nepornucene Neumann)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1010502"">圣西默盎“石柱人”(St. Simeon the Stylite)</a>
</li>
<li>
                                                                                    圣诞期第二周(星期二)                                                                                </li>
</ul>"
06,白,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1010602"">真福辣法厄尔•玛利亚(童贞圣心婢女会会祖 Bd. Raphaela Mary)</a>
</li>
<li>
                                                                                    圣诞期第二周(星期三)                                                                                </li>
</ul>"
07,白,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1010701"">圣赖孟多(St. Raymond of Penyafort)</a>
</li>
<li>
                                                                                    圣诞期第二周(星期四)                                                                                </li>
</ul>"
08,白,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1010801"">圣塞味利•诺利根(St. Severin of Noricun)</a>
</li>
<li>
                                                                                    圣诞期第二周(星期五)                                                                                </li>
</ul>"
09,白,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1010901"">圣哈德良(坎特培里院长 St. Adrian)</a>
</li>
<li>
                                                                                    圣诞期第二周(星期六)                                                                                </li>
</ul>"
10,白,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=2"">主受洗日(Baptism of the Lord)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1011001"">圣阿加道(教宗 St. Agatho)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1011002"">真福额我略十世(教宗 Bd. Gregory X)</a>
</li>
</ul>"
