主历,礼仪,星期,节日
01,绿,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1020101"">圣亨利•莫斯(殉道 St. Herry Morse)</a>
</li>
<li>
                                                                                    常年期第四周(星期三)                                                                                </li>
</ul>"
02,白,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1020201"">献耶稣于圣殿(Presentation of the Lord)</a>
</li>
<li>
                                                                                    常年期第四周(星期四)                                                                                </li>
</ul>"
03,绿,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1020301"">圣巴拉削(主教殉道 St. Blaise)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1020302"">圣老楞佐(主教 St. Laurence)</a>
</li>
<li>
                                                                                    常年期第四周(星期五)                                                                                </li>
</ul>"
04,绿,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1020401"">圣若望•波利多(殉道 St. John de Britto)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1020402"">圣妇若翰纳(圣母领报会会祖 St. John of France)</a>
</li>
<li>
                                                                                    常年期第四周(星期六)                                                                                </li>
</ul>"
05,绿,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    常年期第五主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1020501"">圣女亚加大(童贞殉道 St. Agatha)</a>
</li>
</ul>"
06,红,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1020601"">圣保禄三木司铎及同伴(the Martyrs of Japan)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1020602"">圣童郑安道</a>
</li>
<li>
                                                                                    常年期第五周(星期一)                                                                                </li>
</ul>"
07,绿,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1020701"">圣女尤丽娜(童贞 St. Juliana Falconieri)</a>
</li>
<li>
                                                                                    常年期第五周(星期二)                                                                                </li>
</ul>"
08,绿,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1020801"">圣热罗莫•爱弥廉(St. Jierome Emiliani)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1020802"">圣若望•玛达(圣三赎虏会副会祖 St. John of Matha)</a>
</li>
<li>
                                                                                    常年期第五周(星期三)                                                                                </li>
</ul>"
09,绿,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1020901"">圣高德乐(精修 St. Miguel Febres Cordero)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1020902"">圣撒比诺(嘉诺沙主教 St. Sabinus)</a>
</li>
<li>
                                                                                    常年期第五周(星期四)                                                                                </li>
</ul>"
10,白,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1021001"">圣女斯高拉蒂加(圣思嘉童贞 Scholastica)</a>
</li>
<li>
                                                                                    常年期第五周(星期五)                                                                                </li>
</ul>"
11,白,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1021101"">露德圣母显现(the Appearing of our Lady at Lourdes)</a>
</li>
<li>
                                                                                    常年期第五周(星期六)                                                                                </li>
</ul>"
12,绿,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    常年期第六主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=11"">农历除夕</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1021201"">圣高登雪(主教 St. Gaudentius)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1021202"">圣路登(St. Ludan)</a>
</li>
</ul>"
13,绿,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=12"">农历新春</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1021301"">圣女加大利纳•利其(St. Catherine de Ricci)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1021302"">圣玛蒂银“隐修士”(St. Martinian the Hermit)</a>
</li>
<li>
                                                                                    常年期第六周(星期一)                                                                                </li>
</ul>"
14,白,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1021401"">圣济利禄、圣美铎第(主教 Ss. Cyril and Methodius)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1021402"">圣华楞定(殉道 St. Valentine)</a>
</li>
<li>
                                                                                    常年期第六周(星期二)                                                                                </li>
</ul>"
15,紫,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=40003"">圣灰礼仪</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1021501"">圣傅天定和圣约未达殉道(Ss. Faustinus &amp; Jovita)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1021502"">真福日安当(Bd. Jordan of Saxony)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1021503"">圣高隆汴(St. Claud La Colombiere)</a>
</li>
<li>
                                                                                    四旬期第零周(星期三)                                                                                </li>
</ul>"
16,紫,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1021601"">圣奥乃西(殉道 St. Onesimus)</a>
</li>
<li>
                                                                                    圣灰礼仪后星期四                                                                                </li>
</ul>"
17,紫,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1021701"">圣母忠仆会七位会祖(the Founders of the Servite Order)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1021702"">圣刁杜禄与圣儒里安(殉道 Ss. Theodulus &amp; Julian)</a>
</li>
<li>
                                                                                    圣灰礼仪后星期五                                                                                </li>
</ul>"
18,紫,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1021801"">圣西满(主教殉道 St. Simeon)</a>
</li>
<li>
                                                                                    圣灰礼仪后星期六                                                                                </li>
</ul>"
19,紫,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    四旬期第一主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1021901"">圣公拉(St. Conrad of Placenza)</a>
</li>
</ul>"
20,紫,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1022001"">圣欧千流(奥尔良主教 St. Eucherius)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1022002"">圣弟拉诺、柴诺波等殉道(Ss. Tyrannio, Zenobius &amp; other Martyrs)</a>
</li>
<li>
                                                                                    四旬期第一周(星期一)                                                                                </li>
</ul>"
21,紫,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1022101"">圣伯多禄•达弥盎(主教圣师 St. Peter Damian)</a>
</li>
<li>
                                                                                    四旬期第一周(星期二)                                                                                </li>
</ul>"
22,白,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1022201"">建立圣伯多禄宗座于安提约基(St. Peter’s Chair at Antioch)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1022202"">圣女玛加利大•高多娜(St. Margaret Cortona)</a>
</li>
<li>
                                                                                    四旬期第一周(星期三)                                                                                </li>
</ul>"
23,红,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1022301"">圣波利卡浦(主教殉道 St. Polycarp)</a>
</li>
<li>
                                                                                    四旬期第一周(星期四)                                                                                </li>
</ul>"
24,紫,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1022401"">圣凯撒利乌•纳齐盎(St. Caesarius of Nazianzus)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1022402"">圣孟泰诺、圣路琪及其它烈士(殉道 Ss. Montantls, Lucius &amp; their Companions)</a>
</li>
<li>
                                                                                    四旬期第一周(星期五)                                                                                </li>
</ul>"
25,紫,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1022501"">圣女华波加(童贞 St. Walburga)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1022502"">圣泰拉修(君士坦丁堡宗主教 St. Tarsius)</a>
</li>
<li>
                                                                                    四旬期第一周(星期六)                                                                                </li>
</ul>"
