文件夹名,圣人名称,介绍,纪念日
圣凯撒利乌•纳齐盎-saint-1022401,圣凯撒利乌•纳齐盎,St. Caesarius of Nazianzus,2月24日
圣刁多禄-saint-1092001,圣刁多禄,坎特布里总主教 St. Theodore -690,9月20日
圣刁多禄-saint-1111102,圣刁多禄,院长 St. Theodore the Studite,11月11日
圣刁杜禄与圣儒里安-saint-1021702,圣刁杜禄与圣儒里安,殉道 Ss. Theodulus & Julian,2月17日
圣加利斯督-saint-1101401,圣加利斯督,教宗殉道 St. Callistus,10月14日
圣加努多-saint-1011901,圣加努多,St. Canute Denrnark,1月19日
圣加尼斯-saint-1101101,圣加尼斯,院长 St. Canice,10月11日
圣加帝诺-saint-1041801,圣加帝诺,米兰总主教 St. Caldinus,4月18日
圣加弥禄-saint-1071401,圣加弥禄,灵医会创办人 St. Camillus De Lellis,7月14日
圣加拉桑-saint-1082502,圣加拉桑,公学司铎修会创办人 St. Joseph Calasanz,8月25日
圣加斯伯-saint-1112501,圣加斯伯,宝血会会祖 St. Caspar Del Bufalo,11月25日
圣加斯多罗-saint-1032602,圣加斯多罗,殉道 St. Castulus,3月26日
圣加耶当-saint-1080702,圣加耶当,神职界修会副会祖 St. Cajetan,8月7日
圣加西弥禄-saint-1030401,圣加西弥禄,St. Casimir of Poland,3月4日
圣勃路诺-saint-1100601,圣勃路诺,加多森会创办人 St. Bruno,10月6日
圣十字保禄-saint-1101903,圣十字保禄,苦难会会祖 St. Paul of the Cross 1694-1775,10月19日
圣十字架若望若瑟-saint-1030501,圣十字架若望若瑟,St. John Joseph of the Cross,3月5日
圣华旦-saint-1080301,圣华旦,梅洛士院长 St. Waltheof -1160,8月3日
圣华楞定-saint-1021402,圣华楞定,殉道 St. Valentine,2月14日
圣南米修及其他殉道烈士-saint-1121901,圣南米修及其他殉道烈士,Ss. Nemesius and other Martyrs,12月19日
圣南西苏-saint-1102901,圣南西苏,耶路撒冷主教 St. Narcissus of Jerusalem -215,10月29日
圣博策稣、圣玛谛酿-saint-1070201,圣博策稣、圣玛谛酿,殉道 Ss. Processus and Martinian,7月2日
圣厄利亚-saint-1072001,圣厄利亚,耶路撒冷宗主教)和圣法来文(Ss. Elias and Flavian,7月20日
圣厄瓦理斯多-saint-1102601,圣厄瓦理斯多,教宗殉道 St. Evaristus,10月26日
圣史比利廷-saint-1121402,圣史比利廷,德米杜主教 St. Spiridion,12月14日
圣吉拉-saint-1092402,圣吉拉,塞纳主教殉道 St. Gerard of Sagredo,9月24日
圣君士坦丁-saint-1031102,圣君士坦丁,殉道 St. Constantine,3月11日
圣吴巴多-saint-1051602,圣吴巴多,古比奥主教 St. Ubald,5月16日
圣味增爵-saint-1012201,圣味增爵,文生殉道 St. Vincent of Saragossa,1月22日
圣味增爵-saint-1092702,圣味增爵,遣使会和仁爱会创始人 St. Vincent De Paul,9月27日
圣味增爵•斐勒略-saint-1040501,圣味增爵•斐勒略,St. Vincent Ferrer,4月5日
圣味增爵•柏乐天-saint-1012203,圣味增爵•柏乐天,St. Vincent Polloti,1月22日
圣味增爵•雷冷-saint-1052402,圣味增爵•雷冷,St. Vincent of Lerins,5月24日
圣哈德良-saint-1010901,圣哈德良,坎特培里院长 St. Adrian,1月9日
圣嘉德-saint-1030201,圣嘉德,李非主教 St. Chad,3月2日
圣嘉禄-saint-1110401,圣嘉禄,米兰枢机主教 St. Charles Borromeo,11月4日
圣嘉禄•卢安加及同伴-saint-1060301,圣嘉禄•卢安加及同伴,St. Charles Lwanga and Companions,6月3日
圣基多福-saint-1072502,圣基多福,殉道 St. Christopher,7月25日
圣基文-saint-1060302,圣基文,根巴度院长 St. Kevin,6月3日
圣塞味利•诺利根-saint-1010801,圣塞味利•诺利根,St. Severin of Noricun,1月8日
圣塞尔久、圣伯古斯-saint-1100801,圣塞尔久、圣伯古斯,殉道 Ss. Sergius and Bacchus,10月8日
圣塞尔久一世-saint-1090802,圣塞尔久一世,教宗 St. Sergius I,9月8日
圣塞来斯定一世-saint-1040601,圣塞来斯定一世,教宗 St. Celestinel,4月6日
圣塞来斯定五世-saint-1051901,圣塞来斯定五世,教宗 St. Celestine V,5月19日
圣多利波-saint-1032301,圣多利波,利马总主教 St. Turibius,3月23日
圣多明我-saint-1080801,圣多明我,多明我会会祖 St. Dominic,8月8日
圣多明我•沙维豪-saint-1050602,圣多明我•沙维豪,St. Donfinic Savio,5月6日
圣多明我•西洛-saint-1122001,圣多明我•西洛,院长 St. Dominic of Silos -1073,12月20日
圣多玛斯•阿奎那-saint-1012801,圣多玛斯•阿奎那,圣师雅奎 St. Thomas Aquinas,1月28日
圣多默•威拉诺-saint-1092201,圣多默•威拉诺,总主教 St. Thomas of Villanova,9月22日
圣多默•莫尔-saint-1062203,圣多默•莫尔,殉道 St. Thomas More,6月22日
圣多默•贝凯-saint-1122901,圣多默•贝凯,St. Thomas Becket,12月29日
圣大亚伯尔-saint-1111501,圣大亚伯尔,勒根斯堡主教圣师 St. Albert the Great,11月15日
圣奥乃西-saint-1021601,圣奥乃西,殉道 St. Onesimus,2月16日
圣奥多-saint-1070202,圣奥多,彭伯主教 St. Otto,7月2日
圣奥斯华-saint-1080901,圣奥斯华,殉道 St. Oswald of Northumbria,8月9日
圣奥斯定-saint-1052701,圣奥斯定,坎特伯里总主教 St. Augustine,5月27日
圣奥斯定-saint-1082801,圣奥斯定,希波主教圣师 St. Augustinei of Hippo,8月28日
圣女万罗尼加•祁拉尼-saint-1070903,圣女万罗尼加•祁拉尼,童贞 St. Veronica Giuliani,7月9日
圣女亚兰弟-saint-1061502,圣女亚兰弟,童贞 St. Aleydis,6月15日
圣女亚加大-saint-1020501,圣女亚加大,童贞殉道 St. Agatha,2月5日
圣女亚加比大日-saint-1072602,圣女亚加比大日,童贞路物仁爱女修会副会祖 St. Bartholomea Capitanio-1833,7月26日
圣女任曼娜-saint-1061501,圣女任曼娜,童贞 St. Germaine Cousin,6月15日
圣女伯尔纳德-saint-1041601,圣女伯尔纳德,St. Bernadette or Mary Bernard Soubinous,4月16日
圣女伯蒂拉-saint-1110501,圣女伯蒂拉,童贞 St. Betrilla -708,11月5日
圣女佛波罗尼-saint-1062502,圣女佛波罗尼,童贞殉道 St. Febronia,6月25日
圣女依搦斯-saint-1012101,圣女依搦斯,雅妮童贞殉道 St. Agnes,1月21日
圣女依搦斯•蒙德波-saint-1042001,圣女依搦斯•蒙德波,童贞 St. Agnes of Montepulciano,4月20日
圣女依撒伯尔•皮希亚-saint-1082601,圣女依撒伯尔•皮希亚,童贞十字女修会副创办人 St. Elizabeth Bichier des Ages,8月26日
圣女依撒伯尔•许诺-saint-1061802,圣女依撒伯尔•许诺,童贞 St. Elizabeth of Schonau,6月18日
圣女傅天娜-saint-1100501,圣女傅天娜,童贞 St. Faustina,10月5日
圣女儒斯大、圣妇卢菲娜-saint-1071901,圣女儒斯大、圣妇卢菲娜,Ss. Justa and Rufina,7月19日
圣女克利斯蒂娜-saint-1072402,圣女克利斯蒂娜,童贞 St. Christina the Astonishing,7月24日
圣女则济利亚-saint-1112201,圣女则济利亚,童贞殉道 St. Cecilia -250,11月22日
圣女加大利纳-saint-1030301,圣女加大利纳,St. Katharine Drexel 1858-1955,3月3日
圣女加大利纳•仙娜-saint-1042901,圣女加大利纳•仙娜,童贞圣师 St. Catherine of Siena,4月29日
圣女加大利纳•利其-saint-1021301,圣女加大利纳•利其,St. Catherine de Ricci,2月13日
圣女加大利纳•拉布莱-saint-1112801,圣女加大利纳•拉布莱,童贞 St. Catherine Laboure 1806-1876,11月28日
圣女加大利纳•瑞典-saint-1032401,圣女加大利纳•瑞典,童贞 St. Catherine of Sweden,3月24日
圣女加辣-saint-1081101,圣女加辣,加辣会创办人 St. Clare,8月11日
圣女华波加-saint-1022501,圣女华波加,童贞 St. Walburga,2月25日
圣女吕佳田-saint-1061602,圣女吕佳田,童贞 St. Lutgardis,6月16日
圣女大德肋撒-saint-1101501,圣女大德肋撒,童贞 加尔默罗修会改革者 St. Teresa of Avila,10月15日
圣女婴孩耶稣德肋撒-saint-1100101,圣女婴孩耶稣德肋撒,St. Terese of Licieux,10月1日
圣女安琪拉-saint-1012701,圣女安琪拉,童贞圣乌苏拉女修会会祖 St. Angela Merici,1月27日
圣女尤丽娜-saint-1020701,圣女尤丽娜,童贞 St. Juliana Falconieri,2月7日
圣女尼诺-saint-1121502,圣女尼诺,童贞 St. Nino,12月15日
圣女彼彼亚纳-saint-1120201,圣女彼彼亚纳,童贞殉道 St. Bibiana,12月2日
圣女德格拉-saint-1092302,圣女德格拉,童贞殉道 St. Thecla of Iconium,9月23日
圣女斯高拉蒂加-saint-1021001,圣女斯高拉蒂加,圣思嘉童贞 Scholastica,2月10日
圣女方佳-saint-1042602,圣女方佳,童贞女修院院长 St. Franca of Piacenza,4月26日
圣女方济加-saint-1122201,圣女方济加,童贞 圣心传教女修会创办人 St. Frances Xavier Cabrini 1850-1917,12月22日
圣女日南斐法-saint-1010303,圣女日南斐法,童贞 St. Genevieve,1月3日
圣女日多达-saint-1111602,圣女日多达,St. Getrude,11月16日
圣女日多达•尼凡拉-saint-1031702,圣女日多达•尼凡拉,童贞 St. Gertrude of Nivelles,3月17日
圣女普黎斯加-saint-1011803,圣女普黎斯加,St. Prisca,1月18日
圣女欧多钦-saint-1092802,圣女欧多钦,童贞 St. Eustochium,9月28日
圣女欧弗来西亚-saint-1031301,圣女欧弗来西亚,童贞 St. Euphrasia,3月13日
圣女法拉意弟-saint-1010402,圣女法拉意弟,St. Pharaildis,1月4日
圣女爱弥丽-saint-1061702,圣女爱弥丽,童贞“天神显现”若瑟女修会会祖 St. Emily de Vialar,6月17日
圣女玛利亚•弥额拉•谭马西-saint-1082503,圣女玛利亚•弥额拉•谭马西,童贞圣体孝女会创办人 St. Mary Michaela Desmanisieres 1809-1865,8月25日
圣女玛利亚•方济加-saint-1100602,圣女玛利亚•方济加,童贞 St. Mary Francesd Naples,10月6日
